title,text_review
Достоинства: ,"Большая батарея, небольшой удобный 5"" FHD экран. Быстрый и много памяти. Классный цельнометаллический корпус. Приятная MIUI. Неплохая камера, громкий динамик. "
Недостатки: ,"То что пришлось покупать снова, так как первый потерялся(("
Комментарий: ,"Фотки с его камеры, она просто нормальная и быстрая."
Достоинства: ,"Заряд держит два дня! За такую цену - лучший телефон! По четыре часа в день серфинга в интернете. Хорошая начинка, все быстро, 3 гига оперативки. Обновления выходят регулярно. "
Недостатки: ,"Единственный, но критичный недостаток: проблемы со звуком, во время записи видео. Басы не записывает вообще, только высокие. На видео слышно голос и режущие слух высокие. Музыку запарывает ужасно. Заклеивание скотчем второго микрофона не помогло, так же как и клеем. Прошивки проблему не решают. Т.е. видео нормально записать не получится..."
Комментарий: ,"Пользуюсь пол года, только сейчас стал записывать видео, обнаружилась серьезная проблема. "
Достоинства: ,"1.хороший экран
2.диагональ 5""
3.отпечаток пальца (место на задней крышке для него самое правильное при его размере)
4.тонкий, хотя лучше был бы узким)
5.металлический корпус
6.хорошая вебкамера
7.процессор круче чем у 4х, а дороже на копейки.
8.батарея( 2.5 часа заряжает на 90�вообще редко мне нужно больше 40� емкости на день)
9. 2.5D стекло( думал что глупость какая-то маркетинговая, но получаю тактильный экстаз от него) хорошее покрытие- лучше чем на айфонах, палец отлично скользит.
10.громкий чистый динамик
11.приятный на вид
12. я так обнаглел, что не вожу зарядку в машине, навигатор жрет по 6 процентов за час.
13. ношу уже 3 месяца без чехлов и стекол, отлично все выдерживает. стекло чистое до сих пор, что для меня не свойственно."
Недостатки: ,"1. поражаюсь умению главной камеры запарывать снимки, казалось бы скриншот с камеры должен получиться лучше чем конечное фото. причем видеосъёмка доказывает что она может лучше.
2. люблю маленькие телефоны. от использования этого болит кисть уже пару недель переодически. у меня конечно не рука баскетболиста, но неужели мои сосиски короче чем у среднестатистической девушки с новым айфоном?!
3. немного скользкий, наклеил пару наклеек на левый борт чтоб было легче вцепиться"
Комментарий: ,"за 8800 телефон не имеет себе равных пока по соотношению цена-качество-начинка. брал на замену умершему айфону 5эс. камера там лучше раза в два(но фронтальная хуже), зарядки спокойно хватает на целый день использования беспрерывного и остается гдето 30� еще, больше не таскаю с собой павер банки. главный недостаток для меня конечно размер, а на втором месте андроид. как ни крути- куча крутых настроек и приблуд, но есть мелочи весьма критические, которые есть в айфонах. к примеру запрет на регулировку громкости звонка с помощью кнопок громкости. переодически приходится изменять обратно бегунок. к айфонам конечно не вернусь после этого чуда китайской промышленности

Если идете за новыми лопатными айфонами, то обратите сначала внимание на этот девайс"
Достоинства: ,"- Небольшая цена;
- 2 сим;
- батарея спокойно держит 2 дня, поэтому можно не беспокоиться, что телефон сядет в самый важный момент;
- шустрый сканер отпечатков пальцев;
- функционал MUI 8 оказался удобным и спокойно разбил все мои стереотипы о китайских прошивках, а учитывая то, что Xaomi обновляет все свои устройства, то я радуюсь, что могу расчитывать на Android 7 и возможно даже на Android 8, не смотря на то, что телефон вышел год назад. Обновлять или нет, это уже моё дело.
Интегрируется с Xaomi Band, например, можно настроить, чтобы в телефоне включался режим ""Не беспокоить"" если браслет зафиксировал, что владелец спит."
